"","id","type","continuous","order","block","state_num","rev","c","state_A","mo_A","sc_A","ua_A","pd_A","ad_A","state_B","mo_B","sc_B","ua_B","pd_B","ad_B","mo2","mo3","mo4","mo5","sc2","sc3","sc4","sc5","ua2","ua3","ua4","ua5","pd2","pd3","pd4","pd5","ad2","ad3","ad4","ad5","d_mo2","d_mo3","d_mo4","d_mo5","d_sc2","d_sc3","d_sc4","d_sc5","d_ua2","d_ua3","d_ua4","d_ua5","d_pd2","d_pd3","d_pd4","d_pd5","d_ad2","d_ad3","d_ad4","d_ad5"
"26",26,"TTO",1,5,5,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"27",27,"TTO",1,11,5,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"28",28,"TTO",1,6,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"29",29,"TTO",1,7,5,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"30",30,"TTO",1,11,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"31",31,"TTO",1,3,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"32",32,"TTO",1,10,8,11112,0,0.100000023841858,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"33",33,"TTO",1,5,8,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"34",34,"TTO",1,8,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"35",35,"TTO",1,2,5,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"36",36,"TTO",1,8,5,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"37",37,"TTO",1,4,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"38",38,"TTO",1,5,8,11112,0,0.599999994039536,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"39",39,"TTO",1,3,5,11112,0,0.100000023841858,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"40",40,"TTO",1,8,8,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"41",41,"TTO",1,8,8,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"42",42,"TTO",1,5,8,11112,0,0.25,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"43",43,"TTO",1,11,8,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"44",44,"TTO",1,11,8,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"45",45,"TTO",1,4,8,11112,0,0.399999976158142,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"46",46,"TTO",1,9,5,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"47",47,"TTO",1,4,5,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"48",48,"TTO",1,3,5,11112,0,0.199999988079071,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"49",49,"TTO",1,8,8,11112,0,0.100000023841858,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"50",50,"TTO",1,5,5,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"51",51,"TTO",1,5,8,11112,0,0.5,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"52",52,"TTO",1,6,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"53",53,"TTO",1,3,8,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"54",54,"TTO",1,10,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"55",55,"TTO",1,3,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"56",56,"TTO",1,11,8,11112,0,0.100000023841858,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"57",57,"TTO",1,3,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"58",58,"TTO",1,11,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"59",59,"TTO",1,2,8,11112,0,0.5,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"60",60,"TTO",1,10,5,11112,0,0.300000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"61",61,"TTO",1,3,5,11112,0,0.199999988079071,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"62",62,"TTO",1,11,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"63",63,"TTO",1,2,8,11112,0,0.149999976158142,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"64",64,"TTO",1,5,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"65",65,"TTO",1,5,5,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"66",66,"TTO",1,3,5,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"67",67,"TTO",1,4,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"68",68,"TTO",1,3,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"69",69,"TTO",1,5,5,11112,0,0.100000023841858,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"70",70,"TTO",1,3,8,11112,0,0.100000023841858,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"71",71,"TTO",1,6,5,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"72",72,"TTO",1,5,8,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"73",73,"TTO",1,6,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"74",74,"TTO",1,11,5,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"75",75,"TTO",1,6,5,11112,0,0.100000023841858,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"76",76,"TTO",1,8,8,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"77",77,"TTO",1,4,5,11112,0,0.199999988079071,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"78",78,"TTO",1,5,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"79",79,"TTO",1,3,8,11112,0,0.100000023841858,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"80",80,"TTO",1,6,5,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"81",81,"TTO",1,8,8,11112,0,0.100000023841858,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"82",82,"TTO",1,4,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"83",83,"TTO",1,2,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"84",84,"TTO",1,7,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"85",85,"TTO",1,9,5,11112,0,0.100000023841858,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"86",86,"TTO",1,3,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"87",87,"TTO",1,4,8,11112,0,0.300000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"88",88,"TTO",1,6,8,11112,0,0.149999976158142,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"89",89,"TTO",1,9,8,11112,0,0.300000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"90",90,"TTO",1,10,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"91",91,"TTO",1,3,5,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"92",92,"TTO",1,5,8,11112,0,0.199999988079071,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"93",93,"TTO",1,8,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"94",94,"TTO",1,3,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"95",95,"TTO",1,6,5,11112,0,0.199999988079071,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"96",96,"TTO",1,3,5,11112,0,0.100000023841858,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"97",97,"TTO",1,9,8,11112,0,0.149999976158142,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"98",98,"TTO",1,5,8,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"99",99,"TTO",1,4,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"100",100,"TTO",1,4,8,11112,0,0.050000011920929,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"101",101,"TTO",1,7,8,11112,0,0,11112,1,1,1,1,2,11111,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
